         13555 function calls (13332 primitive calls) in 10.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 __init__.py:63(_stringify)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      268    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     17/5    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
       32    0.000    0.000    0.000    0.000 __init__.py:682(destroy)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
       54    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring}
        3    0.000    0.000    0.000    0.000 __init__.py:3275(curselection)
        1    0.000    0.000    0.006    0.006 app.py:228(_tasks_panel)
        9    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        5    0.000    0.000    0.005    0.001 app.py:80(btn)
       42    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
      139    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       11    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
       29    0.000    0.000    0.000    0.000 __init__.py:2467(pack_configure)
      6/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        9    0.000    0.000    0.000    0.000 __init__.py:3297(insert)
       59    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f22a437e5e0}
       11    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        1    0.000    0.000    0.019    0.019 app.py:204(show_main_hub)
    39/17    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       18    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
       24    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.003    0.003 app.py:286(_goals_panel)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      143    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        9    0.000    0.000    0.001    0.000 _compiler.py:745(compile)
       10    0.000    0.000    0.000    0.000 __init__.py:425(set)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 __init__.py:1394(_bind)
        1    0.000    0.000    0.020    0.020 app.py:145(__init__)
        1    0.000    0.000   10.746   10.746 app.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
        1    0.000    0.000    0.016    0.016 __init__.py:2386(destroy)
