         13555 function calls (13332 primitive calls) in 10.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:3512(Radiobutton)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 __init__.py:2300(wm_title)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 __init__.py:3545(Scale)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 ttk.py:619(Entry)
        1    0.000    0.000    0.000    0.000 ttk.py:967(Progressbar)
        1    0.000    0.000    0.000    0.000 __init__.py:151(_VersionInfoType)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        5    0.000    0.000    0.000    0.000 enum.py:1291(value)
        1    0.000    0.000    0.000    0.000 __init__.py:551(StringVar)
        1    0.000    0.000    0.000    0.000 __init__.py:621(BooleanVar)
        1    0.000    0.000    0.000    0.000 __init__.py:1975(XView)
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.000    0.000 __init__.py:2278(wm_resizable)
        1    0.000    0.000    0.000    0.000 ttk.py:1037(Scale)
        3    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 ttk.py:661(Combobox)
        1    0.000    0.000    0.000    0.000 __init__.py:217(Event)
        1    0.000    0.000    0.000    0.000 ttk.py:566(Button)
        5    0.000    0.000    0.000    0.000 enum.py:1410(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1996(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:1883(grid_rowconfigure)
        1    0.000    0.000    0.000    0.000 __init__.py:575(IntVar)
        1    0.000    0.000    0.000    0.000 __init__.py:600(DoubleVar)
        2    0.000    0.000    0.000    0.000 __init__.py:421(__str__)
        2    0.000    0.000    0.000    0.000 __init__.py:317(_get_default_root)
        1    0.000    0.000    0.000    0.000 __init__.py:1953(CallWrapper)
        1    0.000    0.000    0.000    0.000 ttk.py:1009(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:4041(_setit)
        1    0.000    0.000    0.000    0.000 ttk.py:590(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2117(wm_geometry)
        1    0.000    0.000    0.000    0.000 messagebox.py:61(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2687(Toplevel)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 __init__.py:3498(Menubutton)
        1    0.000    0.000    0.000    0.000 ttk.py:1126(Spinbox)
        1    0.000    0.000    0.000    0.000 __init__.py:3229(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:3505(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:4438(LabelFrame)
        1    0.000    0.000    0.000    0.000 enum.py:1691(_simple_enum)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3209(Frame)
        1    0.000    0.000    0.000    0.000 ttk.py:698(Frame)
        1    0.000    0.000    0.000    0.000 ttk.py:1077(Scrollbar)
        1    0.000    0.000    0.000    0.000 ttk.py:756(Menubutton)
        1    0.000    0.000    0.000    0.000 ttk.py:1112(Sizegrip)
        1    0.000    0.000    0.000    0.000 ttk.py:716(Label)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ttk.py:735(Labelframe)
        1    0.000    0.000    0.000    0.000 ttk.py:1094(Separator)
        1    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 __init__.py:2679(Widget)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.globals}


